Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Foolishness of Youth","Skyline South > Skyline Buttress > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/114182748/foolishness-of-youth,4.0,-1,Trad,5.12d,1,100,45.41854,-111.2281
"Beach Ball","Main Crag > Allenspur > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/120579807/beach-ball,4.0,-1,Sport,5.12d,1,70,45.5961,-110.5598
Chemotherapy,"Drip Buttress > Blodgett Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/115412322/chemotherapy,4.0,-1,Trad,5.12d,1,90,46.27759,-114.35697
"Mickey Mouse Train","The Training Wall > Bozeman Pass > Southwest Region > Montana",https://www.mountainproject.com/route/120602884/mickey-mouse-train,4.0,-1,Sport,5.12d,1,30,45.64296,-110.90788
"Double Barrel Shotgun","First Buttress > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/109135162/double-barrel-shotgun,3.7,-1,Trad,"5.12d PG13",1,80,45.41629,-111.23013
"Skull and Cross Bones","Shipwreck Rock > Natural Bridge and Falls > South Central Region > Montana",https://www.mountainproject.com/route/108590824/skull-and-cross-bones,3.3,-1,Sport,5.12d,1,60,45.54946,-110.2052
"Two-Headed Boy","The Dregs > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/108157441/two-headed-boy,3.5,-1,Trad,5.12d,1,60,45.40709,-111.22527
"Can-Dunne (aka: Kundun)","Hantavirus Cave > Stormcastle > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/117360713/can-dunne-aka-kundun,3.0,-1,Sport,5.12d,1,45,45.4526,-111.2342
Mainline,"The Training Wall > Bozeman Pass > Southwest Region > Montana",https://www.mountainproject.com/route/118797583/mainline,3.0,-1,Sport,5.12d,1,60,45.64296,-110.90788
Damage,"Divers Wall > Rattler Gulch > Northwest Region > Montana",https://www.mountainproject.com/route/107111521/damage,3.0,-1,Sport,5.12d,1,80,46.72623,-113.23236
"Nuclear Energy","Queen (Southside) > Spire Rock > Southwest Region > Montana",https://www.mountainproject.com/route/108217368/nuclear-energy,3.0,-1,"Trad, TR",5.12d,1,50,45.95257,-112.28989
Cujo,"Shredder Wall > Rattler Gulch > Northwest Region > Montana",https://www.mountainproject.com/route/117064392/cujo,3.0,-1,Sport,5.12d,1,35,46.72703,-113.23248
"Bear Tower","Bear Face Sector > Buck Creek > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/118989230/bear-tower,3.0,-1,Sport,5.12d,1,90,45.16786,-111.25142
Awakened,"Buddha Belly Wall > Buck Creek > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/118988897/awakened,3.0,-1,Sport,5.12d,1,90,45.16658,-111.24808
"Jolly Sunshine Happiness","South Jersey Shore > Big Bear Canyon (the BBC) > Southwest Region > Montana",https://www.mountainproject.com/route/113418704/jolly-sunshine-happiness,3.0,-1,Sport,5.12d,1,75,45.50208,-111.09383
Sapphire,"Blueberry Wall > Natural Bridge and Falls > South Central Region > Montana",https://www.mountainproject.com/route/111806218/sapphire,3.0,-1,Sport,5.12d,1,40,45.54781,-110.20259
Annihilator,"Queen (North Face) > Spire Rock > Southwest Region > Montana",https://www.mountainproject.com/route/108200635/annihilator,3.0,-1,"Trad, TR",5.12d,1,50,45.9526,-112.2897
"Spiritual Path","Buddha Belly Wall > Buck Creek > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/118988885/spiritual-path,2.7,-1,Sport,5.12d,1,90,45.16658,-111.24808
"Warm Up Route","Swamp Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/108176274/warm-up-route,2.5,-1,Sport,5.12d,1,20,45.50767,-110.99518
Phytoplankton,"Shipwreck Rock > Natural Bridge and Falls > South Central Region > Montana",https://www.mountainproject.com/route/108071982/phytoplankton,2.6,-1,Sport,5.12d,1,,45.54946,-110.2052
"Soul Train","The Training Wall > Bozeman Pass > Southwest Region > Montana",https://www.mountainproject.com/route/120596864/soul-train,2.4,-1,Sport,5.12d,1,30,45.64296,-110.90788
Voyage,"Voyage Wall > Maiden Rocks > Southwest Region > Montana",https://www.mountainproject.com/route/123797032/voyage,4.0,-1,Sport,5.12d,1,100,45.68795,-112.76763
"Blue Velvet","Blueberry Wall > Natural Bridge and Falls > South Central Region > Montana",https://www.mountainproject.com/route/124252320/blue-velvet,4.0,-1,Sport,5.12d,1,40,45.54781,-110.20259
