Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Robot Steamroller","Coolsville > Downtown > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107714230/robot-steamroller,3.8,-1,Sport,5.12a/b,1,85,44.12489,-107.25992
"Drug of Choice","5. Drugs and Sex > Valhalla > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/114957261/drug-of-choice,3.6,-1,Sport,5.12a/b,1,100,44.13663,-107.25768
"The Jizzleberry Bush","Twizzlers Corner > Crag 6 > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/114804735/the-jizzleberry-bush,3.4,-1,Sport,5.12a/b,1,90,44.12119,-107.19184
"World Leader Pretend","World Domination > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105956310/world-leader-pretend,3.4,-1,Sport,5.12a/b,1,,44.12848,-107.2577
"Cheesy Livin","Cheese Roof > Dry Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/108188154/cheesy-livin,3.0,-1,Sport,5.12a/b,1,70,44.0964,-107.292
"The Road to Dushanbe","Addiction > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/111476332/the-road-to-dushanbe,3.0,-1,Sport,5.12a/b,1,60,42.74091,-108.83616
"The Last Starfighter","The Ark > Mecca > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106537719/the-last-starfighter,3.4,-1,Sport,5.12a/b,1,80,44.13754,-107.23263
"Give my Love to Rose","1. Blooming Rose > 2. Central (Blooming Rose, Claim Jumper, Saddle Tramp) > OK Corral > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/106081869/give-my-love-to-rose,2.5,-1,Sport,5.12a/b,1,45,42.57338,-108.71457
"Don Ho","5. The Bubble > 3. Fairfield West > Fairfield Hill > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/107042099/don-ho,3.8,-1,Sport,5.12a/b,1,40,42.73975,-108.85342
"Feel The Bern","The Joint > The Granite > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/111216658/feel-the-bern,3.7,-1,Sport,5.12a/b,1,55,42.72912,-108.86395
"5 Sheets and a Salt Shaker","Vegas Wall > Lower Canyon Granite > Cody > Wyoming",https://www.mountainproject.com/route/122344011/5-sheets-and-a-salt-shaker,4.0,-1,Sport,5.12a/b,1,85,44.50719,-109.17547
"Sweetwater Moose","Upper Tier > The Moonstone > Sweetwater Rocks > Wyoming",https://www.mountainproject.com/route/108149744/sweetwater-moose,4.0,-1,Trad,5.12a/b,1,90,42.52957,-107.51369
"She's Got Shape","Maroon Towers Wall > Area 5:  Red and White Grotto Walls > Guernsey State Park > Wyoming",https://www.mountainproject.com/route/108666832/shes-got-shape,4.0,-1,Sport,5.12a/b,1,60,42.2896,-104.7559
"Sweet Static","Sweet Static Wall > The Green Mile > The Island Area > Cody > Wyoming",https://www.mountainproject.com/route/123337871/sweet-static,4.0,-1,Sport,5.12a/b,1,100,44.50846,-109.17986
Phoenix,"Riverside Wall > Lower Canyon Granite > Cody > Wyoming",https://www.mountainproject.com/route/109996416/phoenix,3.6,-1,Sport,5.12a/b,1,90,44.50724,-109.17639
"In Honor of Crazy Horse","Cloud Peak East Cirque > Cloud Peak Wilderness Area > Wyoming",https://www.mountainproject.com/route/114960738/in-honor-of-crazy-horse,3.4,-1,"Trad, Alpine","5.12a/b PG13",7,1200,44.38376,-107.17329
"Napoleon's Highchair","World Domination > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107213998/napoleons-highchair,3.0,-1,Sport,5.12a/b,1,100,44.12848,-107.2577
"Crotalus viridis","Rawlins Uplift: Underworld > Rawlins Area > Wyoming",https://www.mountainproject.com/route/109053850/crotalus-viridis,2.8,-1,Sport,5.12a/b,1,40,41.82282,-107.26846
"Friendly Fire","Shooting Gallery > Old Road Crags > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/119233594/friendly-fire,2.6,-1,Sport,5.12a/b,1,80,44.08691,-107.29743
"Escher's Stairs","Switchbax  Power Tower Wall > Area 5:  Red and White Grotto Walls > Guernsey State Park > Wyoming",https://www.mountainproject.com/route/108885160/eschers-stairs,3.0,-1,Sport,5.12a/b,1,65,42.2881,-104.75803
"Turbo-Tronic Dyno Master","Hot Lixx Family Fun Center > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/111991206/turbo-tronic-dyno-master,3.0,-1,Sport,5.12a/b,1,45,44.13321,-107.25725
"Dancing All Night","Old Easy > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/106822311/dancing-all-night,3.0,-1,Trad,5.12a/b,1,,41.1632,-105.37104
"Our Barbies Ourselves","6. Doll Face Area > 2. Fairfield Central > Fairfield Hill > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/108118707/our-barbies-ourselves,3.0,-1,Sport,5.12a/b,1,75,42.73985,-108.84895
"Slappin The Fridge","Riverside Wall > Lower Canyon Granite > Cody > Wyoming",https://www.mountainproject.com/route/109138197/slappin-the-fridge,3.0,-1,Sport,5.12a/b,1,80,44.50724,-109.17639
Knobinhymen,"Just For Kix Wall > Cody > Wyoming",https://www.mountainproject.com/route/107843792/knobinhymen,3.0,-1,Sport,5.12a/b,1,80,44.5135,-109.1583
"Cherry On Top","Soda Fountain Wall > East Bridge Bands > Cody > Wyoming",https://www.mountainproject.com/route/107844095/cherry-on-top,3.0,-1,Sport,5.12a/b,1,75,44.5114,-109.1506
"Biggie Smalls","3. The Roof Area > 3. Fairfield West > Fairfield Hill > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/108037063/biggie-smalls,2.6,-1,Sport,5.12a/b,1,30,42.73974,-108.85212
"Hammer Time","Greenland > Old Road Crags > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/117618066/hammer-time,2.0,-1,Sport,5.12a/b,1,50,44.08764,-107.2945
"Love and a 45","2. Munitions Roof > Valhalla > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106158163/love-and-a-45,2.3,-1,Sport,5.12a/b,1,80,44.13583,-107.25767
"Phillip McCrevice","Sector D'or et Bleu > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/115331301/phillip-mccrevice,2.0,-1,Sport,5.12a/b,1,100,44.147,-107.25786
"Smoke Monster","Lost Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/117585197/smoke-monster,2.0,-1,Sport,5.12a/b,1,,44.14257,-107.23303
"Pray for me","Lost Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/117585396/pray-for-me,2.0,-1,Sport,5.12a/b,1,,44.14257,-107.23303
"Albatross Roof","(c) East Sector > Rock Springs Buttress > Jackson Hole > Wyoming",https://www.mountainproject.com/route/113680885/albatross-roof,2.0,-1,"Trad, Alpine",5.12a/b,4,400,43.58507,-110.86609
"Pistol Whipped","4. Zeppelin Wall > 1. Fairfield East > Fairfield Hill > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/107009273/pistol-whipped,2.0,-1,Sport,5.12a/b,1,70,42.74066,-108.84557
"Backbone of the West","The Sanctuary > The Granite > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/106132556/backbone-of-the-west,4.0,-1,Sport,5.12a/b,1,70,42.7275,-108.86534
Beelzebubba,"Baldwin Creek > Lander Area > Wyoming",https://www.mountainproject.com/route/107211468/beelzebubba,2.0,-1,Sport,5.12a/b,1,65,42.79834,-108.91973
"Crow Magnum","The Mud Puppy > The Spires > Cody > Wyoming",https://www.mountainproject.com/route/123876617/crow-magnum,2.0,-1,Sport,5.12a/b,1,80,44.51523,-109.17059
"Thuggish Ruggish Stone","5. American Nightmare Area > 2. Fairfield Central > Fairfield Hill > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/124044107/thuggish-ruggish-stone,3.0,-1,Sport,5.12a/b,1,70,42.73985,-108.84895
"Aluminium Airwalk","Precious Metal Wall (Upper Middle) > Periodic Table > Swift Creek Canyon > Jackson Hole > Wyoming",https://www.mountainproject.com/route/124679871/aluminium-airwalk,3.0,-1,Sport,5.12a/b,1,75,42.74456,-110.84778
